source_code,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,source_description,source_description_synonym,valid_start_date,decision,review_date,reviewer_name,reviewer_specialty,reviewer_comment,orcid_id,reviewer_affiliation_name,status,author_comment,change_required
GIS1000012,0,OMOP SDOH,Geographic Feature,SDOH Determinant,Access To Electricity,,2024-09-15,1,,,,,,,,,
GIS1000013,0,OMOP SDOH,Socioeconomic Feature,AHRQ Determinant,Access To Exercise,,2022-01-01,1,,,,,,,,,
GIS1000016,0,OMOP SDOH,Socioeconomic Feature,SDOH Construct,Access To Exercise In Population,,2024-09-15,1,,,,,,,,,
GIS1000019,0,OMOP SDOH,Socioeconomic Feature,SDOH Construct,Access To Financial Services,,2024-09-15,1,,,,,,,,,
GIS1000020,0,OMOP SDOH,Geographic Feature,COI Determinant,Access To Green Spaces,,2020-01-01,1,,,,,,,,,
220,0,OMOP SDOH,Healthcare Feature,SDOHO Construct,Access To Health Service,SDOHO:220; Access_to_Health_Service,2022-01-01,1,,,,,,,,,
744,0,OMOP SDOH,Healthcare Feature,SDOHO Construct,Access To Health Technology,SDOHO:744; Access_to_Health_Technology,2022-01-01,1,,,,,,,,,
47,0,OMOP SDOH,Socioeconomic Feature,SDOHO Construct,Access To Healthy And Nutritious Option,SDOHO:47; Access_to_Healthy_and_Nutritious_Option,2022-01-01,1,,,,,,,,,
GIS1000036,0,OMOP SDOH,Socioeconomic Feature,COI Determinant,Access To Healthy Food,,2020-01-01,1,,,,,,,,,
GIS1000039,0,OMOP SDOH,Socioeconomic Feature,SDOH Construct,Access To Information,,2024-09-15,1,,,,,,,,,
GIS1000040,0,OMOP SDOH,Socioeconomic Feature,SDOH Construct,Access To Public Transport,,2024-09-15,1,,,,,,,,,
Goal 5,0,OMOP SDOH,Observation,SDG Goal,Achieve gender equality and empower all women and girls,,2017-03-01,1,,,,,,,,,
8.2,0,OMOP SDOH,Observation,SDG Goal,"Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value added and labour-intensive sectors",,2017-03-01,1,,,,,,,,,
3.8,0,OMOP SDOH,Observation,SDG Goal,"Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all",,2017-03-01,1,,,,,,,,,
17.3.1,0,OMOP SDOH,Observation,SDG Indicator,Additional financial resources mobilized for developing countries from multiple sources,,2017-03-01,1,,,,,,,,,
175,0,OMOP SDOH,Geographic Feature,SDOHO Item,Address,SDOHO:175; Address,2022-01-01,1,,,,,,,,,
106,0,OMOP SDOH,Behavioral Feature,SDOHO Determinant,Adherence,SDOHO:106; Adherence,2022-01-01,1,,,,,,,,,
GIS1000041,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County,,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_1,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 1 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_1,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_10,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 10 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_10,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_11,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 11 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_11,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_12,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 12 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_12,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_13,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 13 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_13,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_14,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 14 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_14,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_2,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 2 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_2,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_3,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 3 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_3,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_4,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 4 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_4,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_5,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 5 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_5,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_6,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 6 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_6,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_7,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 7 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_7,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_8,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 8 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_8,2022-01-01,1,,,,,,,,,
CAF_ADJ_COUNTY_9,0,OMOP SDOH,Geographic Feature,AHRQ Item,Adjacent County 9 FIPS Code (State And County),AHRQ:CAF_ADJ_COUNTY_9,2022-01-01,1,,,,,,,,,
3.7.2,0,OMOP SDOH,Observation,SDG Indicator,"Adolescent birth rate (aged 10?14 years; aged 15?19 years) per 1,000 women in that age group",,2017-03-01,1,,,,,,,,,
17.5,0,OMOP SDOH,Observation,SDG Goal,Adopt and implement investment promotion regimes for least developed countries,,2017-03-01,1,,,,,,,,,
5.c,0,OMOP SDOH,Observation,SDG Goal,Adopt and strengthen sound policies and enforceable legislation for the promotion of gender equality and the empowerment of all women and girls at all levels,,2017-03-01,1,,,,,,,,,
2.c,0,OMOP SDOH,Observation,SDG Goal,"Adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information, including on food reserves, in order to help limit extreme food price volatility",,2017-03-01,1,,,,,,,,,
10.4,0,OMOP SDOH,Observation,SDG Goal,"Adopt policies, especially fiscal, wage and social protection policies, and progressively achieve greater equality",,2017-03-01,1,,,,,,,,,
GIS1000056,0,OMOP SDOH,Socioeconomic Feature,COI Determinant,Adult Educational Attainment,,2020-01-01,1,,,,,,,,,
GIS1000059,0,OMOP SDOH,Socioeconomic Feature,COI Determinant,Advanced Placement Course Enrollment,,2020-01-01,1,,,,,,,,,
81,0,OMOP SDOH,Behavioral Feature,SDOHO Construct,Adverse Childhood Experience,SDOHO:81; Adverse_Childhood_Experience,2022-01-01,1,,,,,,,,,
82,0,OMOP SDOH,Behavioral Feature,SDOHO Construct,Adverse Life Experience,SDOHO:82; Adverse_Life_Experience,2022-01-01,1,,,,,,,,,
358,0,OMOP SDOH,Demographic Feature,SDOHO Value,African American,SDOHO:358,2022-01-01,1,,,,,,,,,
522,0,OMOP SDOH,Phenotypic Feature,SDOHO Determinant,Age,SDOHO:522; Age,2022-01-01,1,,,,,,,,,
522_POP,0,OMOP SDOH,Demographic Feature,SDOH Construct,Age In Population,,2024-09-15,1,,,,,,,,,
CDCP_PULMONARY_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,"Age-Adjusted Prevalence Of Adults Aged 18 Years And Older Who Report Ever Having Been Told By A Doctor, Nurse, Or Other Health Professional That They Had Chronic Obstructive Pulmonary Disease (Copd), Emphysema, Or Chronic Bronchitis (%)",AHRQ:CDCP_PULMONARY_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_KIDNEY_DISEASE_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,"Age-Adjusted Prevalence Of Adults Aged 18 Years And Older Who Report Ever Having Been Told By A Doctor, Nurse, Or Other Health Professional That They Have Kidney Disease (%)",AHRQ:CDCP_KIDNEY_DISEASE_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_DOCTOR_VISIT_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,"Age-Adjusted Prevalence Of Adults Aged 18 Years And Older Who Report Having Been To A Doctor For A Routine Checkup (E.G., A General Physical Exam, Not An Exam For A Specific Injury, Illness, Condition) In The Previous Year (%)",AHRQ:CDCP_DOCTOR_VISIT_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_DENTIST_VISIT_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Adults Aged 18 Years And Older Who Report Having Been To The Dentist Or Dental Clinic In The Previous Year (%),AHRQ:CDCP_DENTIST_VISIT_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_CHOLES_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,"Age-Adjusted Prevalence Of Adults Aged 18 Years And Older Who Report Having Been Told By A Doctor, Nurse, Or Other Health Professional That They Had High Cholesterol (%)",AHRQ:CDCP_CHOLES_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_CHOLES_SCR_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Adults Aged 18 Years And Older Who Report Having Their Cholesterol Checked Within The Previous 5 Years (%),AHRQ:CDCP_CHOLES_SCR_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_NO_PHY_ACTV_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,"Age-Adjusted Prevalence Of Adults Aged 18 Years And Older Who Report Not Having Participated In Any Physical Activities Or Exercises Such As Running, Calisthenics, Golf, Gardening, Or Walking For Exercise Other Than Regular Job (%)",AHRQ:CDCP_NO_PHY_ACTV_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_SLEEP_LESS7HR_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Adults Aged 18 Years And Older Who Report Usually Getting Less Than 7 Hours Of Sleep (%),AHRQ:CDCP_SLEEP_LESS7HR_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_BLOOD_MED_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Adults Aged 18 Years And Older With High Blood Pressure Taking Medicine For High Blood Pressure Control (%),AHRQ:CDCP_BLOOD_MED_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_FOBT_SIG_COL_50_75_A,0,OMOP SDOH,Observation,AHRQ Item,"Age-Adjusted Prevalence Of Adults Aged 50-75 Years Who Had 1) A Fecal Occult Blood Test (Fobt) Within The Past Year, 2) A Sigmoidoscopy Within The Past 5 Years And A Fobt Within The Past Year, Or 3) A Colonoscopy Within The Past 10 Years (%)",AHRQ:CDCP_FOBT_SIG_COL_50_75_A,2022-01-01,1,,,,,,,,,
CDCP_NO_TEETH_65_ABOVE_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Adults Aged 65 Years And Older Who Report Having Lost All Of Their Natural Teeth Because Of Tooth Decay Or Gum Disease (%),AHRQ:CDCP_NO_TEETH_65_ABOVE_A,2022-01-01,1,,,,,,,,,
CDCP_ARTHRITIS_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Arthritis Among Adults Aged 18 Years And Older (%),AHRQ:CDCP_ARTHRITIS_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_ASTHMA_ADULT_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Current Asthma Among Adults Aged 18 Years And Older (%),AHRQ:CDCP_ASTHMA_ADULT_A,2022-01-01,1,,,,,,,,,
CDCP_CERVCAN_SCR_F21_65_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Females Aged 21-65 Years Without A Hysterectomy Who Report Having Had A Recommended Cervical Cancer Screening Test (%),AHRQ:CDCP_CERVCAN_SCR_F21_65_A,2022-01-01,1,,,,,,,,,
CDCP_MAMMO_SCR_F50_74_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Females Aged 50-74 Years Who Reporting Having Had A Mammogram Within The Previous 2 Years (%),AHRQ:CDCP_MAMMO_SCR_F50_74_A,2022-01-01,1,,,,,,,,,
CDCP_PREV_SERV_F65_ABOVE_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Females Aged 65 Years And Older Who Are Up To Date On A Core Set Of Clinical Preventive Services (%),AHRQ:CDCP_PREV_SERV_F65_ABOVE_A,2022-01-01,1,,,,,,,,,
CDCP_PREV_SERV_M65_ABOVE_A,0,OMOP SDOH,Observation,AHRQ Item,Age-Adjusted Prevalence Of Males Aged 65 Years And Older Who Are Up To Date On A Core Set Of Clinical Preventive Services (%),AHRQ:CDCP_PREV_SERV_M65_ABOVE_A,2022-01-01,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Demographic Feature,SDOH Determinant,Age-Related Metrics,,2024-09-15,1,,,,,,,,,
3.a.1,0,OMOP SDOH,Observation,SDG Indicator,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,,2017-03-01,1,,,,,,,,,
116,0,OMOP SDOH,Behavioral Feature,SDOHO Value,Agender,SDOHO:116; Agender,2022-01-01,1,,,,,,,,,
2.b.1,0,OMOP SDOH,Observation,SDG Indicator,Agricultural export subsidies,,2017-03-01,1,,,,,,,,,
8.a.1,0,OMOP SDOH,Observation,SDG Indicator,Aid for Trade commitments and disbursements,,2017-03-01,1,,,,,,,,,
GIS1000105,0,OMOP SDOH,Environmental Feature,SDOH Construct,Air Pollution,,2024-09-15,1,,,,,,,,,
876,0,OMOP SDOH,Environmental Feature,SDOHO Construct,Air Quality,SDOHO:876; Air_Quality,2022-01-01,1,,,,,,,,,
GIS1000107,0,OMOP SDOH,Type Concept,Exposure Type Concept,Air Quality Database,,2024-09-15,1,,,,,,,,,
GIS1000108,0,OMOP SDOH,Environmental Feature,SDOH Determinant,Air Quality Index (AQI),,2024-09-15,1,,,,,,,,,
GIS1000103,0,OMOP SDOH,Environmental Feature,COI Determinant,Airborne Microparticles,,2020-01-01,1,,,,,,,,,
3.5.2,0,OMOP SDOH,Observation,SDG Indicator,Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,,2017-03-01,1,,,,,,,,,
659,0,OMOP SDOH,Behavioral Feature,SDOHO Determinant,Alcohol Use,SDOHO:659; Alcohol_Use,2022-01-01,1,,,,,,,,,
MMD_READM_AIAN_RATE,0,OMOP SDOH,Observation,AHRQ Item,All Cause Readmissions Per 100 American Indian Or Alaska Native Admissions,AHRQ:MMD_READM_AIAN_RATE,2022-01-01,1,,,,,,,,,
MMD_READM_ASIAN_RATE,0,OMOP SDOH,Observation,AHRQ Item,All Cause Readmissions Per 100 Asian Or Pacific Islander Admissions,AHRQ:MMD_READM_ASIAN_RATE,2022-01-01,1,,,,,,,,,
MMD_READM_BLACK_RATE,0,OMOP SDOH,Observation,AHRQ Item,All Cause Readmissions Per 100 Black Admissions,AHRQ:MMD_READM_BLACK_RATE,2022-01-01,1,,,,,,,,,
MMD_READM_F_RATE,0,OMOP SDOH,Observation,AHRQ Item,All Cause Readmissions Per 100 Female Admissions,AHRQ:MMD_READM_F_RATE,2022-01-01,1,,,,,,,,,
MMD_READM_HISP_RATE,0,OMOP SDOH,Observation,AHRQ Item,All Cause Readmissions Per 100 Hispanic Admissions,AHRQ:MMD_READM_HISP_RATE,2022-01-01,1,,,,,,,,,
MMD_READM_M_RATE,0,OMOP SDOH,Observation,AHRQ Item,All Cause Readmissions Per 100 Male Admissions,AHRQ:MMD_READM_M_RATE,2022-01-01,1,,,,,,,,,
MMD_READM_OTHER_RATE,0,OMOP SDOH,Observation,AHRQ Item,All Cause Readmissions Per 100 Other Race Admissions,AHRQ:MMD_READM_OTHER_RATE,2022-01-01,1,,,,,,,,,
MMD_READM_WHITE_RATE,0,OMOP SDOH,Observation,AHRQ Item,All Cause Readmissions Per 100 White Admissions,AHRQ:MMD_READM_WHITE_RATE,2022-01-01,1,,,,,,,,,
E_DSLPM,0,OMOP SDOH,Observation,EJI EBM Item,Ambient Concentrations Of Diesel PM/M3,EJI:E_DSLPM,2022-01-01,1,,,,,,,,,
SEDH:1.3,0,OMOP SDOH,Observation,SEDH Item,American Community Survey Income Inequality Measures Based On Household Income Quintiles,SEDH:1.3,2021-01-01,1,,,,,,,,,
SEDH:1.1,0,OMOP SDOH,Observation,SEDH Item,American Community Survey Income Inequality Measures Based On Income To Poverty Ratio By Census Block Group,SEDH:1.1,2021-01-01,1,,,,,,,,,
SEDH:1.2,0,OMOP SDOH,Observation,SEDH Item,"American Community Survey Income Inequality Measures Based On Income To Poverty Ratio, Census Tracts",SEDH:1.2,2021-01-01,1,,,,,,,,,
E_AIAN,0,OMOP SDOH,Observation,SVI Item,"American Indian Or Alaska Native, Not Hispanic Or Latino Persons Estimate",SVI:E_AIAN,2018-01-01,1,,,,,,,,,
M_AIAN,0,OMOP SDOH,Observation,SVI Item,"American Indian Or Alaska Native, Not Hispanic Or Latino Persons Estimate MOE",SVI:M_AIAN,2018-01-01,1,,,,,,,,,
CEN_AIAN_NH_IND,0,OMOP SDOH,Observation,AHRQ Item,American Indian/Alaska Native Areas/Hawaiian Home Land Indicator,AHRQ:CEN_AIAN_NH_IND,2022-01-01,1,,,,,,,,,
874,0,OMOP SDOH,Observation,SDOHO Item,Americans With Disabilities Act (Ada) Compliance Construction,SDOHO:874; Americans_with_Disabilities_Act_(ADA)_Compliance_Construction,2022-01-01,1,,,,,,,,,
GIS1010310,0,OMOP SDOH,Observation,GIS Measure,Amount,,2024-09-15,1,,,,,,,,,
17.17.1,0,OMOP SDOH,Observation,SDG Indicator,Amount in United States dollars committed to public-private partnerships for infrastructure,,2017-03-01,1,,,,,,,,,
12.c.1,0,OMOP SDOH,Observation,SDG Indicator,Amount of fossil-fuel subsidies (production and consumption) per unit of GDP,,2017-03-01,1,,,,,,,,,
6.a.1,0,OMOP SDOH,Observation,SDG Indicator,Amount of water- and sanitation-related official development assistance that is part of a government- coordinated spending plan,,2017-03-01,1,,,,,,,,,
13.a.1,0,OMOP SDOH,Observation,SDG Indicator,Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,,2017-03-01,1,,,,,,,,,
GIS1000109,0,OMOP SDOH,Observation,GIS Measure,Annual Average,,2024-09-15,1,,,,,,,,,
NEPHTN_AVG_MODAAAC_PM25,0,OMOP SDOH,Observation,AHRQ Item,Annual Average Ambient Concentrations Of PM2.5 In Micrograms Per Cubic Meter (Modeled Estimates Only),AHRQ:NEPHTN_AVG_MODAAAC_PM25,2022-01-01,1,,,,,,,,,
NEPHTN_AVG_MONAAAC_PM25,0,OMOP SDOH,Observation,AHRQ Item,Annual Average Ambient Concentrations Of PM2.5 In Micrograms Per Cubic Meter (Monitored Values Only),AHRQ:NEPHTN_AVG_MONAAAC_PM25,2022-01-01,1,,,,,,,,,
LTC_AVG_DAILY_CENSUS,0,OMOP SDOH,Observation,AHRQ Item,Annual Average Daily Census Per Reporting Facility In The County,AHRQ:LTC_AVG_DAILY_CENSUS,2022-01-01,1,,,,,,,,,
717,0,OMOP SDOH,Socioeconomic Feature,SDOHO Determinant,Annual Family Income,SDOHO:717; Annual_Family_Income,2022-01-01,1,,,,,,,,,
8.1.1,0,OMOP SDOH,Observation,SDG Indicator,Annual growth rate of real GDP per capita,,2017-03-01,1,,,,,,,,,
8.2.1,0,OMOP SDOH,Observation,SDG Indicator,Annual growth rate of real GDP per employed person,,2017-03-01,1,,,,,,,,,
E_OZONE,0,OMOP SDOH,Observation,EJI EBM Item,Annual Mean Days Above O3 Regulatory Standard - 3-Year Average,EJI:E_OZONE,2022-01-01,1,,,,,,,,,
E_PM,0,OMOP SDOH,Observation,EJI EBM Item,Annual Mean Days Above PM2.5 Regulatory Standard - 3-Year Average,EJI:E_PM,2022-01-01,1,,,,,,,,,
11.6.2,0,OMOP SDOH,Observation,SDG Indicator,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),,2017-03-01,1,,,,,,,,,
EPAA_MEAN_NO2_1HR,0,OMOP SDOH,Observation,AHRQ Item,Annual Mean Of All The 1-Hour Measurements Of Nitrogen Dioxide (No2) In The Year (Ppb),AHRQ:EPAA_MEAN_NO2_1HR,2022-01-01,1,,,,,,,,,
EPAA_MEAN_SO2_1HR,0,OMOP SDOH,Observation,AHRQ Item,Annual Mean Of All The 1-Hour Measurements Of Sulfur Dioxide (So2) In The Year (Ppb),AHRQ:EPAA_MEAN_SO2_1HR,2022-01-01,1,,,,,,,,,
