source_code,source_concept_id,source_vocabulary_id,source_description,relationship_id,predicate_id,confidence,target_concept_id,target_concept_name,target_vocabulary_id,target_domain_id,decision,review_date,reviewer_name,reviewer_specialty,reviewer_comment,orcid_id,reviewer_affiliation_name,status,author_comment,change_required
GIS1000000,0,OMOP SDOH,Access To Clean Water,Has relat context,skos:relatedMatch,1,35225193,Inadequate drinking-water supply,ICD10CM,Observation,1,,,,,,,,,
GIS1000020,0,OMOP SDOH,Access To Green Spaces,Has relat context,skos:relatedMatch,1,4105406,Forest,SNOMED,Observation,1,,,,,,,,,
GIS1000020,0,OMOP SDOH,Access To Green Spaces,Has relat context,skos:relatedMatch,1,4107307,Domestic garden,SNOMED,Observation,1,,,,,,,,,
GIS1000020,0,OMOP SDOH,Access To Green Spaces,Has relat context,skos:relatedMatch,1,4109502,Safari park,SNOMED,Observation,1,,,,,,,,,
GIS1000020,0,OMOP SDOH,Access To Green Spaces,Has relat context,skos:relatedMatch,1,4121731,Public park,SNOMED,Observation,1,,,,,,,,,
GIS1000020,0,OMOP SDOH,Access To Green Spaces,Has relat context,skos:relatedMatch,1,4138143,Woods,SNOMED,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,1002315,Did you or others you live with eat smaller meals or skip meals because you didn't have money for food in the past 2 months [WellRx],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,1617275,Always has enough food for family Caregiver,LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,1761432,"Person or persons that makes sure there is enough food, medicines or any other things needed in house",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,1988160,Received or applied for assistance from a food pantry since the beginning of the pandemic,LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,1988384,Nutritional Risk Screening 2002 panel,LOINC,Measurement,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,4115817,Ability to obtain food,SNOMED,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36031322,"During the last month did the food that your family bought run out, and you didn't have money to get more [U.S. FSS - Child]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36031451,During the last month were you hungry but didn't eat because your family didn't have enough food [U.S. FSS - Child],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36031516,During the last month did you have to eat less because your family didn't have enough money to buy food [U.S. FSS - Child],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36031702,During the last month did you not eat for a whole day because your family didn't have enough money for food [U.S. FSS - Child],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36031800,During the last month did you worry that food at home would run out before your family got money to buy more [U.S. FSS - Child],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36032100,During the last month has the size of your meals been cut because your family didn't have enough money for food [U.S. FSS - Child],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36032178,During the last month did you have to skip a meal because your family didn't have enough money for food [U.S. FSS - Child],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36032308,During the last month did your meals only include a few kinds of cheap foods because your family was running out of money to buy food [U.S. FSS - Child],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36659779,"In the last 12 months, did any of the children ever skip meals because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36659800,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36659825,"In the last 12 months, how often did any of the children skip meals because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36659851,"In the last 12 months, how often did you not eat for a whole day because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660012,"In the last 12 months, were the children ever hungry but you just couldn't afford more food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660018,"In the last 12 months, how often did you cut the size of your meals or skip meals because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660262,"In the last 12 months, my children were not eating enough because I just couldn't afford enough food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660264,"In the last 12 months, did any of the children ever not eat for a whole day because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660388,"In the last 12 months, did you ever not eat for a whole day because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660433,"In the last 12 months, did you ever cut the size of your meals or skip meals because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660509,"In the last 12 months, were you ever hungry but didn't eat because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660534,"In the last 12 months, did you lose weight because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660557,"In the last 12 months, did you ever cut the size of any of the children's meals or skip meals because there wasn't enough money for food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,36660694,"In the last 12 months, I relied on only a few kinds of low-cost food to feed my children because I was running out of money to buy food [U.S. FSS]",LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,40765756,PhenX - healthy food environments protocol 210701,LOINC,Measurement,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,42868898,I am able to eat the foods that I like in the past 7 days [FACIT],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,42868905,I am able to eat as much food as I want in the past 7 days [FACIT],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Subsumes,skos:narrowMatch,1,42870097,I eat enough food for me to do whatever I need to do in the past 7 days [FACIT],LOINC,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Has relat context,skos:relatedMatch,1,4330150,Supermarket,SNOMED,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Has relat context,skos:relatedMatch,1,4330737,Food shop,SNOMED,Observation,1,,,,,,,,,
47,0,OMOP SDOH,Access To Healthy And Nutritious Option,Has relat context,skos:relatedMatch,1,4331144,Grocer's shop,SNOMED,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Has relat context,skos:relatedMatch,1,4265453,Age,SNOMED,Meas Value,1,,,,,,,,,
522,0,OMOP SDOH,Age,Maps to,skos:exactMatch,1,3022304,Age,LOINC,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,3007191,Age - Reported,LOINC,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,3008232,Age estimated,LOINC,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,3023631,Age calculated,LOINC,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,3053159,Age group,LOINC,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,4008165,Apparent age,SNOMED,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,4025025,Age AND/OR growth period,SNOMED,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,4247391,Child development by age,SNOMED,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,4314456,Current chronological age,SNOMED,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,40485048,Estimated fetal gestational age at delivery,SNOMED,Measurement,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,40485455,Developmental age,SNOMED,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,40765041,PhenX - current age protocol 010101,LOINC,Measurement,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,40766621,Current age or age at death,LOINC,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,44802502,Child developmental age,SNOMED,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,46235840,Age category panel [NMMDS],LOINC,Observation,1,,,,,,,,,
522,0,OMOP SDOH,Age,Subsumes,skos:narrowMatch,1,4322978,Age factor,SNOMED,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3038493,Total population of age 70-74 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3038513,Total population of age 80-84 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3039069,Total population of age 45-49 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3039103,Total population of age GE 85 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3039689,Total population of age 60-64 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3039908,Total population of age 1-4 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3040272,Total population of age 55-59 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3040814,Total population of age 35-39 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3040819,Total population of age 15-19 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3040841,Total population of age 30-34 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041074,Total population of age 10-14 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041081,Total population of age 20-24 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041103,Total population of age 25-29 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041215,Total population of age 50-54 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041358,Total population of age 29 days to 1 year Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041501,Total population of age 75-79 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041701,Total population of age birth to 28 days Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041796,Total population of age 65-69 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041941,Total population of fetal age Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3041988,Total population of age 5-9 years Population,LOINC,Observation,1,,,,,,,,,
522_POP,0,OMOP SDOH,Age In Population,Subsumes,skos:narrowMatch,1,3042409,Total population of age 40-44 years Population,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,903652,Findings of tobacco or its derivatives use or exposure,OMOP Extension,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,1242931,Age of family member at death,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3007016,Age at cancer diagnosis,LOINC,Measurement,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3026424,Age at onset of adverse event,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3032951,Age at pathology Dx,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3035266,Age at first pregnancy,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3038421,Age at death,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3039452,Current age Family member [USSG-FHT],LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3039465,Age range at onset of disease Family member [USSG-FHT],LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3045859,Age at delivery,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3051544,Age range at death Family member [USSG-FHT],LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,3051573,Age range at onset of disease [USSG-FHT],LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,4036556,Age at starting snuff use,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,4043043,Age became sexually active,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,4071357,Paternal age,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,4073449,Age of parents,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,4074910,Age at leaving school,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,4076100,Age spread of children in family,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,4076225,Age at starting school,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,4307859,Age at diagnosis,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,35810273,Age first had sexual intercourse,UK Biobank,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,36203531,Age of Mother --at delivery,LOINC,Measurement,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,37019576,General Life Satisfaction Survey - age 18+ - T-score [NIH Toolbox],LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,37020819,Current age or age at death of Family member,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,40481504,Age of caregiver,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,40483839,Age at onset of clinical finding,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,40759191,Age --at body weight.max,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,40763893,Gestation adjusted age,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,40766624,Age at first cancer diagnosis,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,40766652,Age at diagnosis,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,40768619,Age of first psychiatric problems [DI-PAD],LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,40770331,Age of onset of health-related event Family member,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,42537433,Age of sexual partner,SNOMED,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,44817174,Age at time of event [AHRQ],LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,46235847,Age at event onset,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,46235848,Age at event onset Family member,LOINC,Observation,1,,,,,,,,,
GIS1000061,0,OMOP SDOH,Age-Related Metrics,Subsumes,skos:narrowMatch,1,46236967,Age at time of case investigation,LOINC,Observation,1,,,,,,,,,
876,0,OMOP SDOH,Air Quality,Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,4074035,Current drinker,SNOMED,Observation,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,4038561,Drinking environment,SNOMED,Observation,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,4038568,Age at starting drinking,SNOMED,Observation,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,4062656,Alcohol consumption screening,SNOMED,Measurement,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,35814820,Alcohol consumed,UK Biobank,Observation,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,40765281,PhenX - alcohol - age of first use protocol 030201,LOINC,Measurement,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,40766301,"At what age did you begin to drink regularly - that is, drinking at least once a month for 6 months or more [SSAGA II]",LOINC,Observation,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,40766581,"In this age range, did you drink alcoholic beverages at least once a week for 6 months or more [PhenX]",LOINC,Observation,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,40766673,Specify age range for lifetime alcohol exposure [PhenX],LOINC,Observation,1,,,,,,,,,
659,0,OMOP SDOH,Alcohol Use,Subsumes,skos:narrowMatch,1,44786700,Alcohol use disorder,LOINC,Observation,1,,,,,,,,,
MMD_READM_ASIAN_RATE,0,OMOP SDOH,All Cause Readmissions Per 100 Asian Or Pacific Islander Admissions,Is a,skos:broadMatch,1,4213258,Hospital re-admission,SNOMED,Observation,1,,,,,,,,,
MMD_READM_BLACK_RATE,0,OMOP SDOH,All Cause Readmissions Per 100 Black Admissions,Is a,skos:broadMatch,1,4213258,Hospital re-admission,SNOMED,Observation,1,,,,,,,,,
MMD_READM_F_RATE,0,OMOP SDOH,All Cause Readmissions Per 100 Female Admissions,Is a,skos:broadMatch,1,4213258,Hospital re-admission,SNOMED,Observation,1,,,,,,,,,
MMD_READM_HISP_RATE,0,OMOP SDOH,All Cause Readmissions Per 100 Hispanic Admissions,Is a,skos:broadMatch,1,4213258,Hospital re-admission,SNOMED,Observation,1,,,,,,,,,
MMD_READM_M_RATE,0,OMOP SDOH,All Cause Readmissions Per 100 Male Admissions,Is a,skos:broadMatch,1,4213258,Hospital re-admission,SNOMED,Observation,1,,,,,,,,,
MMD_READM_OTHER_RATE,0,OMOP SDOH,All Cause Readmissions Per 100 Other Race Admissions,Is a,skos:broadMatch,1,4213258,Hospital re-admission,SNOMED,Observation,1,,,,,,,,,
MMD_READM_WHITE_RATE,0,OMOP SDOH,All Cause Readmissions Per 100 White Admissions,Is a,skos:broadMatch,1,4213258,Hospital re-admission,SNOMED,Observation,1,,,,,,,,,
NEPHTN_AVG_MODAAAC_PM25,0,OMOP SDOH,Annual Average Ambient Concentrations Of PM2.5 In Micrograms Per Cubic Meter (Modeled Estimates Only),Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
NEPHTN_AVG_MONAAAC_PM25,0,OMOP SDOH,Annual Average Ambient Concentrations Of PM2.5 In Micrograms Per Cubic Meter (Monitored Values Only),Has relat context,skos:relatedMatch,1,44803960,Air quality,SNOMED,Observation,1,,,,,,,,,
717,0,OMOP SDOH,Annual Family Income,Subsumes,skos:narrowMatch,1,40765790,PhenX - annual family income protocol 011101,LOINC,Measurement,1,,,,,,,,,
