source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
PSYWG10028,2071500028,PSYCHIATRY,DSM-5 Cross Cutting Symptom Measure (Child 6-17),2072499985,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10029,2071500029,PSYCHIATRY,Dutch Measure for Treatment Resistant Depression (DM-TRD),2072499984,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10030,2071500030,PSYCHIATRY,Edinburgh Postnatal Depression Scale (EPDS),4164838,SNOMED,2025-04-01,2099-12-31,
PsyWG10030,2071500030,PSYCHIATRY,Edinburgh Postnatal Depression Scale (EPDS),42870296,LOINC,2025-04-01,2099-12-31,
PsyWG10031,2071500031,PSYCHIATRY,Edmonton Symptom Assessment Scale (ESAS),42873028,SNOMED,2025-04-01,2099-12-31,
PSYWG10032,2071500032,PSYCHIATRY,Elder Mistreatment Screening & Response Tool (EM-SART),2072499982,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10033,2071500033,PSYCHIATRY,Fagerstrom Test for Nicotine Dependence (FTND),4159696,SNOMED,2025-04-01,2099-12-31,
PSYWG10034,2071500034,PSYCHIATRY,FAS Test - Verbal Fluency (FAS),2072499981,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10035,2071500035,PSYCHIATRY,General Anxiety Disorder 7 (GAD-7),40772159,LOINC,2025-04-01,2099-12-31,
PsyWG10035,2071500035,PSYCHIATRY,General Anxiety Disorder 7 (GAD-7),45772733,SNOMED,2025-04-01,2099-12-31,
PsyWG10036,2071500036,PSYCHIATRY,Geriatric Depression Scale (GDS),3049169,LOINC,2025-04-01,2099-12-31,
PsyWG10036,2071500036,PSYCHIATRY,Geriatric Depression Scale (GDS),4159706,SNOMED,2025-04-01,2099-12-31,
PSYWG10037,2071500037,PSYCHIATRY,Global Assessment of Functioning (GAF),2072499980,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10038,2071500038,PSYCHIATRY,Hamilton Anxiety Rating Scale (HAM-A),37157670,SNOMED,2025-04-01,2099-12-31,
PsyWG10039,2071500039,PSYCHIATRY,Hamilton Depression Rating Scale (HAM-D),4159709,SNOMED,2025-04-01,2099-12-31,
PSYWG10040,2071500040,PSYCHIATRY,Hoarding Rating Scale (HRS),2072499979,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10041,2071500041,PSYCHIATRY,Maudsley Staging Method (MSM),2072499978,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10042,2071500042,PSYCHIATRY,Mental Status Exam (MSE),2072499977,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10043,2071500043,PSYCHIATRY,Mini Mental State Examination (MMSE),4169175,SNOMED,2025-04-01,2099-12-31,
PsyWG10043,2071500043,PSYCHIATRY,Mini Mental State Examination (MMSE),42869861,LOINC,2025-04-01,2099-12-31,
PsyWG10044,2071500044,PSYCHIATRY,Mini-Cog (Mini-Cog),37017073,SNOMED,2025-04-01,2099-12-31,
PsyWG10044,2071500044,PSYCHIATRY,Mini-Cog (Mini-Cog),43055202,LOINC,2025-04-01,2099-12-31,
PsyWG10045,2071500045,PSYCHIATRY,Modified Checklist for Autism in Toddlers (MCHAT),40488390,SNOMED,2025-04-01,2099-12-31,
PSYWG10046,2071500046,PSYCHIATRY,Modified Overt Aggression Scale (MOAS),2072499976,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10047,2071500047,PSYCHIATRY,Montgomery-?sberg Depression Rating Scale (MADRS),40486423,SNOMED,2025-04-01,2099-12-31,
PsyWG10048,2071500048,PSYCHIATRY,Montreal Cognitive Assessment (MoCA),43054876,LOINC,2025-04-01,2099-12-31,
PsyWG10048,2071500048,PSYCHIATRY,Montreal Cognitive Assessment (MoCA),44808666,SNOMED,2025-04-01,2099-12-31,
PsyWG10049,2071500049,PSYCHIATRY,Mood Disorder Questionnaire (MDQ),3655507,SNOMED,2025-04-01,2099-12-31,
PsyWG10049,2071500049,PSYCHIATRY,Mood Disorder Questionnaire (MDQ),42527979,LOINC,2025-04-01,2099-12-31,
PSYWG10050,2071500050,PSYCHIATRY,NICHQ Vanderbilt Assessment Scale,2072499975,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10051,2071500051,PSYCHIATRY,Patient Health Questionnaire - 2 (PHQ-2),40758878,LOINC,2025-04-01,2099-12-31,
PsyWG10051,2071500051,PSYCHIATRY,Patient Health Questionnaire - 2 (PHQ-2),44809413,SNOMED,2025-04-01,2099-12-31,
PsyWG10052,2071500052,PSYCHIATRY,Patient Health Questionnaire - 9 (PHQ-9),44804610,SNOMED,2025-04-01,2099-12-31,
PsyWG10053,2071500053,PSYCHIATRY,Patient Health Questionnaire (PHQ),40772147,LOINC,2025-04-01,2099-12-31,
PSYWG10054,2071500054,PSYCHIATRY,Patient Safety Screener (PSS-3),2072499974,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10055,2071500055,PSYCHIATRY,Patient-Reported Outcomes Measurement Information System (PROMIS),2072499973,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10056,2071500056,PSYCHIATRY,Pediatric Symptom Checklist - 17 (PSC-17),2072499972,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10057,2071500057,PSYCHIATRY,Pittsburgh Sleep Quality Index (PSQI),44783153,SNOMED,2025-04-01,2099-12-31,
PSYWG10058,2071500058,PSYCHIATRY,Positive Symptom Rating Scale (PSRS),2072499971,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10059,2071500059,PSYCHIATRY,Positive Symptom Rating Scale & Brief Negative Symptom Assessment (PSRS/BNSA),2072499983,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10060,2071500060,PSYCHIATRY,Posttraumatic Stress Disorder Checklist for DSM-5 (PCL-5),37310582,SNOMED,2025-04-01,2099-12-31,
PsyWG10061,2071500061,PSYCHIATRY,PTSD Checklist - Civilian Version (PCL-C),42868695,LOINC,2025-04-01,2099-12-31,
PsyWG10062,2071500062,PSYCHIATRY,Quick Inventory of Depressive Symptomatology (QIDS),36684916,SNOMED,2025-04-01,2099-12-31,
PsyWG10063,2071500063,PSYCHIATRY,Saint Louis University Mental Status (SLUMS),605634,SNOMED,2025-04-01,2099-12-31,
PsyWG10063,2071500063,PSYCHIATRY,Saint Louis University Mental Status (SLUMS),42869702,LOINC,2025-04-01,2099-12-31,
PSYWG10064,2071500064,PSYCHIATRY,Scale for the Assessment of Negative Symptoms (SANS),2072499970,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10065,2071500065,PSYCHIATRY,Scale for the Assessment of Positive Symptoms (SAPS),2072499969,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10066,2071500066,PSYCHIATRY,Screen for Child Anxiety Related Disorders (SCARED),2072499968,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10067,2071500067,PSYCHIATRY,Short Posttraumatic Stress Disorder Rating Interview (SPRINT),2072499967,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10068,2071500068,PSYCHIATRY,Stages of Change Readiness and Treatment Eagerness Scale (SOCRATES),2072499966,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10069,2071500069,PSYCHIATRY,Toronto Western Spasmodic Torticollis Rating Scale (TWSTRS),2072499965,PSYCHIATRY,2025-04-01,2099-12-31,
PSYWG10070,2071500070,PSYCHIATRY,University of Rhode Island Change Assessment Scale (URICA),2072499964,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10071,2071500071,PSYCHIATRY,Wong-Baker FACES Pain Rating Scale (FACES),3035486,LOINC,2025-04-01,2099-12-31,
PsyWG10071,2071500071,PSYCHIATRY,Wong-Baker FACES Pain Rating Scale (FACES),36713656,SNOMED,2025-04-01,2099-12-31,
PSYWG10072,2071500072,PSYCHIATRY,Zarit Burden Interview (ZBI),2072499963,PSYCHIATRY,2025-04-01,2099-12-31,
PsyWG10073,2071500073,PSYCHIATRY,Zung Self-Rating Depression Scale (SRS),4165613,SNOMED,2025-04-01,2099-12-31,
