source_code,source_concept_id,source_vocabulary_id,source_code_description,relationship_id,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
"227646","2061501779","MIMIC4","Breast Feed - R (Minutes)","Maps to","2061501779","MIMIC4","2025-05-07","2099-12-31",
"OLAN10ODT","2061508797","MIMIC4","Olanzapine (Disintegrating Tablet)","Maps to","785788","RxNorm","2025-05-07","2099-12-31",
"52168","2061504683","MIMIC4","Pyruvate Kinase|Blood|Hematology","Maps to","3015478","LOINC","2025-05-07","2099-12-31",
"WFDB.SIGNAL.ADC.SAMPLERATE.SYS","2061509926","MIMIC4","WFDB signal A/D converter samplerate in SYS","Maps to","2061509926","MIMIC4","2025-05-07","2099-12-31",
"THYM25I","2061509568","MIMIC4","Anti-Thymocyte Globulin (Rabbit)","Maps to","19136207","RxNorm","2025-05-07","2099-12-31",
"225070","2061500967","MIMIC4","Unable to assess psychological","Maps to","4023059","SNOMED","2025-05-07","2099-12-31",
"EAR (EAR)","2061507339","MIMIC4","EAR (EAR)","Maps to","4037611","SNOMED","2025-05-07","2099-12-31",
"CEFTR1000I","2061506914","MIMIC4","CeftriaXONE Desensitization","Maps to","1777806","RxNorm","2025-05-07","2099-12-31",
"52176","2061504690","MIMIC4","Rouleaux|Blood|Hematology","Maps to","3036273","LOINC","2025-05-07","2099-12-31",
"600 MCG/2.4 ML","2061505126","MIMIC4","600 mcg/2.4 mL","Maps to","8859","UCUM","2025-05-07","2099-12-31",
"BETA0.05O","2061506721","MIMIC4","Betamethasone Dipro 0.05% Cream (BETA0.05O)","Maps to","920458","RxNorm","2025-05-07","2099-12-31",
"52786","2061504878","MIMIC4","Bleeding Time|Blood|Hematology (52786)","Maps to","3011625","LOINC","2025-05-07","2099-12-31",
"226557","2061501473","MIMIC4","R Ureteral Stent","Maps to","2061501473","MIMIC4","2025-05-07","2099-12-31",
"52354","2061504806","MIMIC4","Histiocytes|Other Body Fluid|Hematology","Maps to","3030588","LOINC","2025-05-07","2099-12-31",
"28119","2061502729","MIMIC4","Ostectomy, calcaneus; for spur, with or without plantar fascial release","Maps to","4173425","SNOMED","2025-05-07","2099-12-31",
"51223","2061503987","MIMIC4","Hemoglobin A2|Blood|Hematology","Maps to","3020784","LOINC","2025-05-07","2099-12-31",
"50833","2061503613","MIMIC4","Potassium|Other Body Fluid|Blood Gas","Maps to","3036243","LOINC","2025-05-07","2099-12-31",
"MG/DOSE","2061508433","MIMIC4","mg/dose","Maps to","45890997","UCUM","2025-05-07","2099-12-31",
"11440","2061500075","MIMIC4","Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 0.5 cm or less","Maps to","2101986","CPT4","2025-05-07","2099-12-31",
"51173","2061503937","MIMIC4","CD25|Blood|Hematology","Maps to","3011497","LOINC","2025-05-07","2099-12-31",
"GRAM/60 ML","2061507664","MIMIC4","gram/60 mL","Maps to","9514","UCUM","2025-05-07","2099-12-31",
"AMOX125L","2061506528","MIMIC4","AMOXicillin Oral Susp.","Maps to","40009492","RxNorm","2025-05-07","2099-12-31",
"223939","2061500575","MIMIC4","Brachial Pulse R","Maps to","2061500575","MIMIC4","2025-05-07","2099-12-31",
"225974","2061501372","MIMIC4","Metoprolol (225974)","Maps to","1307046","RxNorm","2025-05-07","2099-12-31",
"70065","2061505411","MIMIC4","SCOTCH TAPE PREP/PADDLE (70065)","Maps to","4121357","SNOMED","2025-05-07","2099-12-31",
"URSO250","2061509724","MIMIC4","Ursodiol","Maps to","1510492","RxNorm","2025-05-07","2099-12-31",
"70054","2061505401","MIMIC4","PLEURAL FLUID","Maps to","4302933","SNOMED","2025-05-07","2099-12-31",
"51623","2061504308","MIMIC4","Fibrinogen|Blood|Chemistry","Maps to","3016407","LOINC","2025-05-07","2099-12-31",
"221733","2061500463","MIMIC4","Factor VIII","Maps to","1352213","RxNorm","2025-05-07","2099-12-31",
"AUGM875","2061506638","MIMIC4","Amoxicillin-Clavulanic Acid (AUGM875)","Maps to","1713332","RxNorm","2025-05-07","2099-12-31",
"MOXI400PM","2061508570","MIMIC4","*NF* Moxifloxacin","Maps to","1716903","RxNorm","2025-05-07","2099-12-31",
"ETHAN70I","2061507428","MIMIC4","Ethanol 70% Catheter DWELL","Maps to","955372","RxNorm","2025-05-07","2099-12-31",
"IMDU30","2061507817","MIMIC4","Isosorbide Mononitrate (Extended Release) 30mg ER Tablet","Maps to","19082350","RxNorm","2025-05-07","2099-12-31",
"225668","2061501194","MIMIC4","Lactic Acid","Maps to","4213582","SNOMED","2025-05-07","2099-12-31",
"IN","2061507825","MIMIC4","IN","Maps to","9327","UCUM","2025-05-07","2099-12-31",
"EPIPEN0.3I","2061507379","MIMIC4","Epinephrine 1:1000 (EPIPEN0.3I)","Maps to","1343916","RxNorm","2025-05-07","2099-12-31",
"HC20","2061507701","MIMIC4","Hydrocortisone (HC20)","Maps to","975125","RxNorm","2025-05-07","2099-12-31",
"21407","2061500336","MIMIC4","Open treatment of fracture of orbit, except blowout; with implant","Maps to","2103293","CPT4","2025-05-07","2099-12-31",
"WFDB.SIGNAL.NFRAGMENTS.PLETH","2061510065","MIMIC4","WFDB signal number of fragments in PLETH","Maps to","2061510065","MIMIC4","2025-05-07","2099-12-31",
"229529","2061502161","MIMIC4","ECMO Inflow Line","Maps to","2061502161","MIMIC4","2025-05-07","2099-12-31",
"MEQ / ML SW","2061508296","MIMIC4","mEq / mL SW","Maps to","9559","UCUM","2025-05-07","2099-12-31",
"CARB100XR","2061506863","MIMIC4","Carbamazepine XR 100mg CR Tablet","Maps to","740281","RxNorm","2025-05-07","2099-12-31",
"31647","2061502931","MIMIC4","Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with balloon occlusion, when performed, assessment of air leak, airway sizing, and insertion of bronchial valve(s), initial lobe","Maps to","43527912","CPT4","2025-05-07","2099-12-31",
"PYRI180","2061509084","MIMIC4","Pyridostigmine Bromide (PYRI180)","Maps to","759740","RxNorm","2025-05-07","2099-12-31",
"62311","2061505177","MIMIC4","Injection(s), of diagnostic or therapeutic substance(s) (including anesthetic, antispasmodic, opioid, steroid, other solution), not including neurolytic substances, including needle or catheter placement, includes contrast for localization when... (62311)","Maps to","2110622","CPT4","2025-05-07","2099-12-31",
"224654","2061500797","MIMIC4","PAEDP","Maps to","2061500797","MIMIC4","2025-05-07","2099-12-31",
"QHD","2061509135","MIMIC4","QHD","Maps to","4288399","SNOMED","2025-05-07","2099-12-31",
"49425","2061503511","MIMIC4","Insertion of peritoneal-venous shunt","Maps to","4231590","SNOMED","2025-05-07","2099-12-31",
"43194","2061503251","MIMIC4","Esophagoscopy, rigid, transoral; with removal of foreign body(s)","Maps to","4068157","SNOMED","2025-05-07","2099-12-31",
"61750","2061505155","MIMIC4","Stereotactic biopsy, aspiration, or excision, including burr hole(s), for intracranial lesion","Maps to","2110541","CPT4","2025-05-07","2099-12-31",
"80242","2061505671","MIMIC4","RESEMBLING MICROCOCCUS/STOMATOCOCCUS SPECIES","Maps to","4199767","SNOMED","2025-05-07","2099-12-31",
"224672","2061500807","MIMIC4","Yawning","Maps to","4242234","SNOMED","2025-05-07","2099-12-31",
"58572","2061505081","MIMIC4","Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g","Maps to","2110231","CPT4","2025-05-07","2099-12-31",
"225956","2061501361","MIMIC4","Reason for CRRT Filter Change","Maps to","1988233","LOINC","2025-05-07","2099-12-31",
"OLAN2.5","2061508798","MIMIC4","Olanzapine 2.5mg Tablet","Maps to","19022782","RxNorm","2025-05-07","2099-12-31",
"80037","2061505479","MIMIC4","GRAM VARIABLE RODS","Maps to","4348425","SNOMED","2025-05-07","2099-12-31",
"225224","2061501046","MIMIC4","CCO PAC Dressing Change","Maps to","2061501046","MIMIC4","2025-05-07","2099-12-31",
"MG/ML (2 %)","2061508455","MIMIC4","mg/mL (2 %)","Maps to","8861","UCUM","2025-05-07","2099-12-31",
"224762","2061500857","MIMIC4","LLE Sensation","Maps to","2061500857","MIMIC4","2025-05-07","2099-12-31",
"229354","2061502118","MIMIC4","Foley Cath Insertion Location","Maps to","2061502118","MIMIC4","2025-05-07","2099-12-31",
"28735","2061502792","MIMIC4","Arthrodesis, midtarsal or tarsometatarsal, multiple or transverse; with osteotomy (eg, flatfoot correction)","Maps to","2105788","CPT4","2025-05-07","2099-12-31",
"58573","2061505082","MIMIC4","Laparoscopy, surgical, with total hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s)","Maps to","2110232","CPT4","2025-05-07","2099-12-31",
"227359","2061501670","MIMIC4","Tunneled (Hickman) Dressing Occlusive","Maps to","2061501670","MIMIC4","2025-05-07","2099-12-31",
"52204","2061504710","MIMIC4","RBCDist|Blood|Hematology","Maps to","3019897","LOINC","2025-05-07","2099-12-31",
"224717","2061500835","MIMIC4","SBT Successfully Completed","Maps to","2061500835","MIMIC4","2025-05-07","2099-12-31",
"52381","2061504830","MIMIC4","Histiocytes|Pleural|Hematology","Maps to","3041613","LOINC","2025-05-07","2099-12-31",
"52266","2061504731","MIMIC4","Macrophage|Cerebrospinal Fluid|Hematology","Maps to","3028502","LOINC","2025-05-07","2099-12-31",
"51996","2061504554","MIMIC4","Trichomonas vaginalis|Urine|Chemistry","Maps to","3002253","LOINC","2025-05-07","2099-12-31",
"229836","2061502285","MIMIC4","Low Speed Limit (VAD)","Maps to","2061502285","MIMIC4","2025-05-07","2099-12-31",
"80013","2061505456","MIMIC4","SERRATIA LIQUEFACIENS","Maps to","4028952","SNOMED","2025-05-07","2099-12-31",
"223795","2061500517","MIMIC4","Pain Assessment Method (223795)","Maps to","2061500517","MIMIC4","2025-05-07","2099-12-31",
"FAMO20SM","2061507455","MIMIC4","Famotidine","Maps to","953076","RxNorm","2025-05-07","2099-12-31",
"224701","2061500824","MIMIC4","PSV Level","Maps to","3000461","LOINC","2025-05-07","2099-12-31",
"225218","2061501043","MIMIC4","Trauma Line Tubing Change","Maps to","2061501043","MIMIC4","2025-05-07","2099-12-31",
"47510","2061503463","MIMIC4","Introduction of percutaneous transhepatic catheter for biliary drainage","Maps to","2109351","CPT4","2025-05-07","2099-12-31",
"52042","2061504584","MIMIC4","pO2|Fluid|Blood Gas","Maps to","3027801","LOINC","2025-05-07","2099-12-31",
"HYDR0.5C","2061507760","MIMIC4","Hydrocortisone Cream 0.5%","Maps to","975125","RxNorm","2025-05-07","2099-12-31",
"D5W500E","2061507158","MIMIC4","5% Dextrose (EXCEL BAG)","Maps to","1560524","RxNorm","2025-05-07","2099-12-31",
"90420","2061505988","MIMIC4","TAENIA SP.","Maps to","4102628","SNOMED","2025-05-07","2099-12-31",
"MINE30L","2061508499","MIMIC4","Mineral Oil 30mL Cup","Maps to","19095115","RxNorm","2025-05-07","2099-12-31",
"28505","2061502778","MIMIC4","Open treatment of fracture, great toe, phalanx or phalanges, includes internal fixation, when performed","Maps to","2105738","CPT4","2025-05-07","2099-12-31",
"80168","2061505603","MIMIC4","ENTEROCOCCUS FAECIUM","Maps to","4234555","SNOMED","2025-05-07","2099-12-31",
"224879","2061500902","MIMIC4","Nares L","Maps to","2061500902","MIMIC4","2025-05-07","2099-12-31",
"29889","2061502839","MIMIC4","Arthroscopically aided posterior cruciate ligament repair/augmentation or reconstruction","Maps to","4077907","SNOMED","2025-05-07","2099-12-31",
"SCPUMP","2061509342","MIMIC4","SCPUMP","Maps to","4142048","SNOMED","2025-05-07","2099-12-31",
"PRED5","2061509016","MIMIC4","PredniSONE 5 mg Tablet","Maps to","1551192","RxNorm","2025-05-07","2099-12-31",
"90421","2061505989","MIMIC4","STRONGYLOIDES","Maps to","4029706","SNOMED","2025-05-07","2099-12-31",
"51252","2061504016","MIMIC4","Microcytes|Blood|Hematology","Maps to","3025639","LOINC","2025-05-07","2099-12-31",
"52226","2061504718","MIMIC4","Basos#|Cerebrospinal Fluid|Hematology","Maps to","3030870","LOINC","2025-05-07","2099-12-31",
"50871","2061503651","MIMIC4","Anti-Mitochondrial Antibody|Blood|Chemistry","Maps to","3005277","LOINC","2025-05-07","2099-12-31",
"IMAT400","2061507815","MIMIC4","Imatinib Mesylate","Maps to","1304107","RxNorm","2025-05-07","2099-12-31",
"51491","2061504229","MIMIC4","pH|Urine|Hematology","Maps to","3022621","LOINC","2025-05-07","2099-12-31",
"FOSA150IV","2061507551","MIMIC4","Fosaprepitant (FOSA150IV)","Maps to","35605594","RxNorm","2025-05-07","2099-12-31",
"CYCL250L","2061507129","MIMIC4","Cyclophosphamide (CYCL250L)","Maps to","1310317","RxNorm","2025-05-07","2099-12-31",
"51396","2061504136","MIMIC4","CD16|Other Body Fluid|Hematology","Maps to","3022430","LOINC","2025-05-07","2099-12-31",
"27187","2061502574","MIMIC4","Prophylactic treatment (nailing, pinning, plating or wiring) with or without methylmethacrylate, femoral neck and proximal femur","Maps to","2104877","CPT4","2025-05-07","2099-12-31",
"225148","2061501001","MIMIC4","Bivalirudin (Angiomax)","Maps to","2061501001","MIMIC4","2025-05-07","2099-12-31",
"225352","2061501095","MIMIC4","PA Catheter Change over Wire Date","Maps to","2061501095","MIMIC4","2025-05-07","2099-12-31",
"EPHE50I","2061507371","MIMIC4","Ephedrine","Maps to","1143374","RxNorm","2025-05-07","2099-12-31",
"223876","2061500548","MIMIC4","Apnea Interval","Maps to","2061500548","MIMIC4","2025-05-07","2099-12-31",
"EU/DL","2061507438","MIMIC4","EU/dL","Maps to","8829","UCUM","2025-05-07","2099-12-31",
"FOSI40","2061507557","MIMIC4","Fosinopril 40mg Tab","Maps to","40163764","RxNorm","2025-05-07","2099-12-31",
"26545","2061502531","MIMIC4","Reconstruction, collateral ligament, interphalangeal joint, single, including graft, each joint","Maps to","1242546","SNOMED","2025-05-07","2099-12-31",
"228166","2061501901","MIMIC4","Impella Dressing Change","Maps to","2061501901","MIMIC4","2025-05-07","2099-12-31",
"15135","2061500173","MIMIC4","Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children","Maps to","2102297","CPT4","2025-05-07","2099-12-31",
"228446","2061502020","MIMIC4","Angio Appearance # 4","Maps to","3022666","LOINC","2025-05-07","2099-12-31",
"228231","2061501934","MIMIC4","PAR-Consciousness","Maps to","2061501934","MIMIC4","2025-05-07","2099-12-31",
"MG/ML","2061508451","MIMIC4","MG/ML","Maps to","8861","UCUM","2025-05-07","2099-12-31",
"MERO1I","2061508298","MIMIC4","Meropenem 1000mg Vial","Maps to","35606006","RxNorm","2025-05-07","2099-12-31",
"44340","2061503348","MIMIC4","Revision of colostomy; simple (release of superficial scar) (separate procedure)","Maps to","4187786","SNOMED","2025-05-07","2099-12-31",
"229733","2061502246","MIMIC4","22 Gauge Dressing Change","Maps to","2061502246","MIMIC4","2025-05-07","2099-12-31",
"90667","2061506095","MIMIC4","TRICHOSPORON MUCOIDES","Maps to","4348457","SNOMED","2025-05-07","2099-12-31",
"SULF10EO","2061509455","MIMIC4","Sulfacetamide-Prednisolone Ophth. Oint.","Maps to","1550557","RxNorm","2025-05-07","2099-12-31",
"PCNGB240I","2061508886","MIMIC4","Penicillin G Benzathine","Maps to","1728416","RxNorm","2025-05-07","2099-12-31",
"92990","2061506328","MIMIC4","Percutaneous balloon valvuloplasty; pulmonary valve","Maps to","4187102","SNOMED","2025-05-07","2099-12-31",
"NADO20","2061508625","MIMIC4","Nadolol 20 mg Tab","Maps to","19019236","RxNorm","2025-05-07","2099-12-31",
"TALC5","2061509501","MIMIC4","Talc (Sterile)","Maps to","1036667","RxNorm","2025-05-07","2099-12-31",
"51512","2061504250","MIMIC4","Urine Mucous|Urine|Hematology","Maps to","3006175","LOINC","2025-05-07","2099-12-31",
"VZIG625I","2061509801","MIMIC4","Varicella-Zoster Imm Globulin","Maps to","543291","RxNorm","2025-05-07","2099-12-31",
"RIVAR15","2061509278","MIMIC4","Rivaroxaban (RIVAR15)","Maps to","40241331","RxNorm","2025-05-07","2099-12-31",
"224443","2061500775","MIMIC4","GI #2 Tube Place Check (224443)","Maps to","2061500775","MIMIC4","2025-05-07","2099-12-31",
"WFDB.SIGNAL.ADC.SAMPLERATE.ABP","2061509905","MIMIC4","WFDB signal A/D converter samplerate in ABP","Maps to","2061509905","MIMIC4","2025-05-07","2099-12-31",
"25265","2061502427","MIMIC4","Repair, tendon or muscle, flexor, forearm and/or wrist; secondary, with free graft (includes obtaining graft), each tendon or muscle","Maps to","2104154","CPT4","2025-05-07","2099-12-31",
"80151","2061505589","MIMIC4","CITROBACTER KOSERI (80151)","Maps to","4016448","SNOMED","2025-05-07","2099-12-31",
"49180","2061503491","MIMIC4","Biopsy, abdominal or retroperitoneal mass, percutaneous needle","Maps to","2109441","CPT4","2025-05-07","2099-12-31",
"225965","2061501366","MIMIC4","Peritoneal Dialysis Catheter Status","Maps to","2061501366","MIMIC4","2025-05-07","2099-12-31",
"90912","2061506280","MIMIC4","Foreign Body - Sonication Culture","Maps to","40490923","SNOMED","2025-05-07","2099-12-31",
"90868","2061506249","MIMIC4","YOKENELLA REGENSBURGEI","Maps to","4249757","SNOMED","2025-05-07","2099-12-31",
"80115","2061505554","MIMIC4","PROPIONIBACTERIUM SPECIES","Maps to","4144074","SNOMED","2025-05-07","2099-12-31",
"52203","2061504709","MIMIC4","RBCAgg|Blood|Hematology","Maps to","3041228","LOINC","2025-05-07","2099-12-31",
