source_code_set,source_category,source_domain,source_code,source_concept_id,source_vocabulary_id,source_description,source_description_synonym,relationship_id,predicate_id,confidence,target_concept_id,target_concept_name,target_vocabulary_id,target_domain_id,author_label,reviewer_label,reviewer_comments,mapping_justification,mapping_tool,mapping_tool_version
bodysite,,Spec Anatomic Site,Left Accessory Basilic,0,MIMIC4,Left Accessory Basilic,,Is a,skos:broadMatch,1,4057834,Structure of basilic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Accessory Cephalic,0,MIMIC4,Left Accessory Cephalic,,Is a,skos:broadMatch,1,4102911,Structure of accessory cephalic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Antecube,0,MIMIC4,Left Antecube,,Is a,skos:broadMatch,1,4236336,Antecubital region structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Antecubital,0,MIMIC4,Left Antecubital,,Is a,skos:broadMatch,1,4236336,Antecubital region structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Basilic Lower Arm,0,MIMIC4,Left Basilic Lower Arm,,Is a,skos:broadMatch,1,4057834,Structure of basilic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Basilic Upper Arm,0,MIMIC4,Left Basilic Upper Arm,,Is a,skos:broadMatch,1,4057834,Structure of basilic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Cephalic Lower Arm,0,MIMIC4,Left Cephalic Lower Arm,,Is a,skos:broadMatch,1,37158787,Structure of left cephalic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Cephalic Upper Arm,0,MIMIC4,Left Cephalic Upper Arm,,Is a,skos:broadMatch,1,37158787,Structure of left cephalic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Digital,0,MIMIC4,Left Digital,,Maps to,skos:exactMatch,1,37109540,Structure of digit of left hand,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left EJ,0,MIMIC4,Left EJ,,Maps to,skos:exactMatch,1,37157861,Structure of left external jugular vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left External Jugular,0,MIMIC4,Left External Jugular,,Maps to,skos:exactMatch,1,4310018,Structure of tributary of external jugular vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Foot,0,MIMIC4,Left Foot,,Maps to,skos:exactMatch,1,4320144,Structure of left foot,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Humeral Head,0,MIMIC4,Left Humeral Head,,Is a,skos:broadMatch,1,4203786,Structure of capitulum of humerus,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left IJ,0,MIMIC4,Left IJ,,Is a,skos:broadMatch,1,4006845,Internal jugular vein structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left IJ.,0,MIMIC4,Left IJ.,,Is a,skos:broadMatch,1,4006845,Internal jugular vein structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Lower Quadrant,0,MIMIC4,Left Lower Quadrant,,Maps to,skos:exactMatch,1,4285903,Structure of left lower quadrant of abdomen,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Median Cubital,0,MIMIC4,Left Median Cubital,,Is a,skos:broadMatch,1,4183994,Structure of medial cubital region,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Metacarpal,0,MIMIC4,Left Metacarpal,,Is a,skos:broadMatch,1,4265712,Metacarpal bone structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Proximal Tibia,0,MIMIC4,Left Proximal Tibia,,Is a,skos:broadMatch,1,4069282,Bone structure of proximal tibia,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Side Head,0,MIMIC4,Left Side Head,,Maps to,skos:exactMatch,1,4272492,Structure of left half of head,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Upper Arm,0,MIMIC4,Left Upper Arm,,Maps to,skos:exactMatch,1,4283159,Left upper arm structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Left Upper Quadrant,0,MIMIC4,Left Upper Quadrant,,Maps to,skos:exactMatch,1,4314121,Structure of left upper quadrant of abdomen,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,LL Ant Forearm,0,MIMIC4,LL Ant Forearm,,Is a,skos:broadMatch,1,4283512,Structure of left forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,LL Ant Forearm Lateral,0,MIMIC4,LL Ant Forearm Lateral,,Is a,skos:broadMatch,1,4283512,Structure of left forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,LL Ant Forearm Medial,0,MIMIC4,LL Ant Forearm Medial,,Is a,skos:broadMatch,1,4283512,Structure of left forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,LL Post Forearm,0,MIMIC4,LL Post Forearm,,Is a,skos:broadMatch,1,4283512,Structure of left forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,LU Ant Forearm,0,MIMIC4,LU Ant Forearm,,Is a,skos:broadMatch,1,4283512,Structure of left forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,LU Ant Forearm Lateral,0,MIMIC4,LU Ant Forearm Lateral,,Is a,skos:broadMatch,1,4283512,Structure of left forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,LU Ant Forearm Medial,0,MIMIC4,LU Ant Forearm Medial,,Is a,skos:broadMatch,1,4283512,Structure of left forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,LU Post Forearm,0,MIMIC4,LU Post Forearm,,Is a,skos:broadMatch,1,4283512,Structure of left forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Lumbar,0,MIMIC4,Lumbar (Lumbar),,Maps to,skos:closeMatch,1,4045660,Lumbar spine structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,R Antecube,0,MIMIC4,R Antecube,,Is a,skos:broadMatch,1,4236336,Antecubital region structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,R Foot,0,MIMIC4,R Foot,,Maps to,skos:exactMatch,1,4298982,Structure of right foot,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,R Hand,0,MIMIC4,R Hand,,Maps to,skos:exactMatch,1,4302584,Structure of right hand,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,R Hand Lateral,0,MIMIC4,R Hand Lateral,,Is a,skos:broadMatch,1,4302584,Structure of right hand,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,R Hand Medial,0,MIMIC4,R Hand Medial,,Is a,skos:broadMatch,1,4302584,Structure of right hand,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,R Wrist,0,MIMIC4,R Wrist,,Maps to,skos:exactMatch,1,4319901,Structure of right wrist region,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,R Wrist Lateral,0,MIMIC4,R Wrist Lateral,,Is a,skos:broadMatch,1,4319901,Structure of right wrist region,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,R Wrist Medial,0,MIMIC4,R Wrist Medial,,Is a,skos:broadMatch,1,4319901,Structure of right wrist region,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right above Antecubital,0,MIMIC4,Right above Antecubital,,Is a,skos:broadMatch,1,4236336,Antecubital region structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Accessory Basilic,0,MIMIC4,Right Accessory Basilic,,Is a,skos:broadMatch,1,4057834,Structure of basilic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Accessory Cephalic,0,MIMIC4,Right Accessory Cephalic,,Is a,skos:broadMatch,1,4102911,Structure of accessory cephalic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Antecube,0,MIMIC4,Right Antecube,,Is a,skos:broadMatch,1,4236336,Antecubital region structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Antecubital,0,MIMIC4,Right Antecubital,,Is a,skos:broadMatch,1,4236336,Antecubital region structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Basilic Lower Arm,0,MIMIC4,Right Basilic Lower Arm,,Is a,skos:broadMatch,1,4057834,Structure of basilic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Basilic Upper Arm,0,MIMIC4,Right Basilic Upper Arm,,Is a,skos:broadMatch,1,4057834,Structure of basilic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Cephalic Lower Arm,0,MIMIC4,Right Cephalic Lower Arm,,Is a,skos:broadMatch,1,37151615,Structure of right cephalic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Cephalic Upper Arm,0,MIMIC4,Right Cephalic Upper Arm,,Is a,skos:broadMatch,1,37151615,Structure of right cephalic vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Digital,0,MIMIC4,Right Digital,,Maps to,skos:exactMatch,1,37109541,Structure of digit of right hand,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right EJ,0,MIMIC4,Right EJ,,Maps to,skos:exactMatch,1,37157862,Structure of right external jugular vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right External Jugular,0,MIMIC4,Right External Jugular,,Maps to,skos:exactMatch,1,37157862,Structure of right external jugular vein,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Foot,0,MIMIC4,Right Foot,,Maps to,skos:exactMatch,1,4298982,Structure of right foot,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Humeral Head,0,MIMIC4,Right Humeral Head,,Maps to,skos:exactMatch,1,609150,Structure of head of right humerus,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right IJ,0,MIMIC4,Right IJ,,Is a,skos:broadMatch,1,4006845,Internal jugular vein structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right IJ.,0,MIMIC4,Right IJ.,,Is a,skos:broadMatch,1,4006845,Internal jugular vein structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Lower Quadrant,0,MIMIC4,Right Lower Quadrant,,Maps to,skos:exactMatch,1,4174976,Structure of right lower quadrant of abdomen,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Median Cubital,0,MIMIC4,Right Median Cubital,,Is a,skos:broadMatch,1,4183994,Structure of medial cubital region,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Metacarpal,0,MIMIC4,Right Metacarpal,,Maps to,skos:closeMatch,1,42539334,Structure of metacarpal bone of right hand,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Proximal Tibia,0,MIMIC4,Right Proximal Tibia,,Is a,skos:broadMatch,1,4069282,Bone structure of proximal tibia,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Side Head,0,MIMIC4,Right Side Head,,Maps to,skos:exactMatch,1,4106412,Structure of right half of head,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Upper Arm,0,MIMIC4,Right Upper Arm,,Maps to,skos:exactMatch,1,4274743,Right upper arm structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Right Upper Quadrant,0,MIMIC4,Right Upper Quadrant,,Maps to,skos:exactMatch,1,4196689,Structure of right upper quadrant of abdomen,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,RL Ant Forearm,0,MIMIC4,RL Ant Forearm,,Is a,skos:broadMatch,1,4271843,Structure of right forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,RL Ant Forearm Lateral,0,MIMIC4,RL Ant Forearm Lateral,,Is a,skos:broadMatch,1,4271843,Structure of right forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,RL Ant Forearm Medial,0,MIMIC4,RL Ant Forearm Medial,,Is a,skos:broadMatch,1,4271843,Structure of right forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,RL Post Forearm,0,MIMIC4,RL Post Forearm,,Is a,skos:broadMatch,1,4271843,Structure of right forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,RU Ant Forearm,0,MIMIC4,RU Ant Forearm,,Is a,skos:broadMatch,1,4271843,Structure of right forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,RU Ant Forearm Lateral,0,MIMIC4,RU Ant Forearm Lateral,,Is a,skos:broadMatch,1,4271843,Structure of right forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,RU Ant Forearm Medial,0,MIMIC4,RU Ant Forearm Medial,,Is a,skos:broadMatch,1,4271843,Structure of right forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,RU Post Forearm,0,MIMIC4,RU Post Forearm,,Is a,skos:broadMatch,1,4271843,Structure of right forearm,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
bodysite,,Spec Anatomic Site,Urethral,0,MIMIC4,Urethral,,Maps to,skos:exactMatch,1,4029306,Urethral structure,SNOMED,Spec Anatomic Site,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Respiratory,Measurement,229659,0,MIMIC4,% Minute Volume,Respiratory|% Minute Volume,Maps to,skos:exactMatch,1,4353621,Minute volume,SNOMED,Measurement,Polina Talapova,,,semapv:LevenshteinEditDistance,,0.0
d-items,Access Lines - Peripheral,Measurement,228008,0,MIMIC4,14 G Infiltration Scale,Access Lines - Peripheral|14 G Infiltration Scale,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Measurement,228007,0,MIMIC4,14 G Phlebitis Scale,Access Lines - Peripheral|14 G Phlebitis Scale,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,224566,0,MIMIC4,14 Gauge,Access Lines - Peripheral|14 Gauge,Has asso proc,skos:relatedMatch,1,4049832,Insertion of peripheral venous cannula into peripheral vein,SNOMED,Procedure,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,224566,0,MIMIC4,14 Gauge,Access Lines - Peripheral|14 Gauge,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,,Observation,229736,0,MIMIC4,14 Gauge Cap Change,,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,,Observation,229730,0,MIMIC4,14 Gauge Dressing Change,,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,227365,0,MIMIC4,14 Gauge Dressing Occlusive,Access Lines - Peripheral|14 Gauge Dressing Occlusive,Has relat context,skos:relatedMatch,1,40490870,Occlusive dressing technique,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,227365,0,MIMIC4,14 Gauge Dressing Occlusive,Access Lines - Peripheral|14 Gauge Dressing Occlusive,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,,Observation,225757,0,MIMIC4,14 Gauge Insertion Date,,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,,Observation,225757,0,MIMIC4,14 Gauge Insertion Date,,Has asso proc,skos:relatedMatch,1,37204303,Insertion procedure,SNOMED,Procedure,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,226135,0,MIMIC4,14 Gauge placed in outside facility,Access Lines - Peripheral|14 Gauge placed in outside facility,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,228097,0,MIMIC4,14 Gauge placed in the field,Access Lines - Peripheral|14 Gauge placed in the field,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,225239,0,MIMIC4,14 Gauge Reason Discontinued,Access Lines - Peripheral|14 Gauge Reason Discontinued,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,225239,0,MIMIC4,14 Gauge Reason Discontinued,Access Lines - Peripheral|14 Gauge Reason Discontinued,Is a,skos:broadMatch,1,4190104,Procedure discontinued,SNOMED,Observation,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Measurement,225240,0,MIMIC4,14 Gauge Site Appear,Access Lines - Peripheral|14 Gauge Site Appear,Has relat context,skos:relatedMatch,1,4266649,14G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Measurement,228010,0,MIMIC4,16 G Infiltration Scale,Access Lines - Peripheral|16 G Infiltration Scale,Has relat context,skos:relatedMatch,1,4172546,16G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Measurement,228009,0,MIMIC4,16 G Phlebitis Scale,Access Lines - Peripheral|16 G Phlebitis Scale,Has relat context,skos:relatedMatch,1,4172546,16G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Measurement,228009,0,MIMIC4,16 G Phlebitis Scale,Access Lines - Peripheral|16 G Phlebitis Scale,Is a,skos:broadMatch,1,40483855,Visual infusion phlebitis scale,SNOMED,Measurement,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,224276,0,MIMIC4,16 Gauge,Access Lines - Peripheral|16 Gauge,Has asso proc,skos:relatedMatch,1,4049832,Insertion of peripheral venous cannula into peripheral vein,SNOMED,Procedure,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,Access Lines - Peripheral,Observation,224276,0,MIMIC4,16 Gauge,Access Lines - Peripheral|16 Gauge,Has relat context,skos:relatedMatch,1,4172546,16G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,,Observation,229737,0,MIMIC4,16 Gauge Cap Change,,Has relat context,skos:relatedMatch,1,4172546,16G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
d-items,,Observation,229731,0,MIMIC4,16 Gauge Dressing Change,,Has relat context,skos:relatedMatch,1,4172546,16G,SNOMED,Meas Value,Polina Talapova,,,semapv:ManualMappingCuration,,0.0
